2	67
3	437
4	2358
5	484
5	485
5	486
5	487
5	489
5	490
5	499
5	501
5	504
5	508
5	515
5	519
5	524
5	525
5	533
5	556
5	561
5	563
5	565
5	568
5	569
5	571
8	654
9	218
9	269
9	344
9	348
9	377
9	390
9	464
9	479
9	498
9	570
9	571
9	648
9	650
9	654
9	660
9	663
9	666
9	669
9	672
9	674
9	675
9	679
9	682
9	683
9	686
9	688
9	691
9	693
9	694
9	698
9	703
9	707
9	711
9	712
9	717
9	720
9	741
9	747
9	995
9	1689
9	1911
9	1981
9	2268
9	3100
9	3896
9	4334
9	4554
9	4632
9	5807
9	6339
9	6835
9	6918
9	7286
9	7458
9	7663
9	8510
9	8806
9	9400
9	9802
9	10645
11	61
11	2034
13	76
14	755
14	761
20	86
20	146
27	51
27	123
27	155
27	240
27	246
27	363
27	841
27	1082
27	1084
27	1104
27	1255
27	1768
27	4576
27	5352
27	8404
32	76
32	1179
35	61
38	38
38	51
38	137
38	268
38	377
38	479
38	1144
38	1231
38	1304
38	1775
38	1842
38	2707
38	2786
38	2958
38	3044
38	3135
38	3405
38	3741
38	3798
38	4249
39	349
42	888
42	1289
42	1292
43	135
46	51
46	214
46	654
46	703
46	849
46	1338
46	1339
46	1341
46	1343
46	1482
46	2333
46	2829
46	3034
46	3120
46	3495
46	3750
46	3807
46	4187
46	4546
46	4569
46	4964
46	5804
46	6036
46	6619
46	7121
46	8654
46	9851
46	9922
47	136
47	218
47	228
47	369
47	1209
47	1254
47	1348
47	2028
47	2058
47	2354
47	2514
47	4271
51	27
51	38
51	46
51	108
51	130
51	137
51	161
51	190
51	193
51	214
51	269
51	276
51	373
51	377
51	390
51	610
51	619
51	650
51	654
51	669
51	670
51	809
51	831
51	832
51	968
51	1089
51	1170
51	1221
51	1288
51	1396
51	1398
51	1399
51	1401
51	1402
51	1403
51	1408
51	1410
51	1412
51	1415
51	1418
51	1419
51	1427
51	1431
51	1434
51	1436
51	1439
51	2062
51	2521
51	3204
51	3638
51	3882
51	3907
53	1448
53	1473
53	1482
53	5204
56	114
56	202
56	214
56	390
56	501
56	592
56	599
56	832
56	2010
56	2699
56	7022
57	571
57	706
57	777
57	1021
57	1264
57	1518
57	1520
57	1530
58	58
58	135
58	172
58	308
58	321
58	340
58	343
58	358
58	624
58	932
58	953
58	1299
58	1400
58	1412
58	1531
58	1708
58	1811
58	2015
58	6771
61	11
61	35
61	249
61	868
61	1164
61	1472
61	1595
61	1602
61	1604
61	1605
61	1606
62	712
62	781
62	849
62	1029
62	1229
62	1625
62	1631
62	1633
62	1641
62	1643
62	1648
62	1651
62	1658
62	1659
62	1660
62	1661
62	1665
62	5534
63	1244
63	1673
67	2
67	110
67	155
67	162
67	340
67	358
67	508
67	628
67	654
